Old,New,productname,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g,nutrition-score-fr_100g,new_scores,new_nutri_grades,utility_1,utility_2,utility_3,utility_4,utility_5,utility_6
2075,784,Vollkornbrot,b,837.0,0.2,0.7,7.7,4.6,0.48,0.0,17.714286,a,2.4761905,3.047619,2.4285714,1.952381,6.3809524,1.4285714
4194,785,Human Cola Regular Pet,e,192.0,0.1,11.0,0.1,0.1,0.04,15.0,10.52381,c,3.047619,3.047619,1.2857143,0.0,0.0,3.1428571
2676,786,Lait de coco origine Thailande,d,749.0,16.0,1.8,0.39,1.0,0.024,12.0,12.428571,c,3.047619,0.0,2.4285714,0.0,3.8095238,3.1428571
2420,787,Les sables nappes chocolat noir,e,2109.0,13.0,27.0,4.2,6.7,0.48,22.0,10.809524,c,1.047619,0.0,0.0,1.952381,6.3809524,1.4285714
284,788,Flan De Huevo,c,707.0,1.2,30.0,0.0,5.3,0.08,6.0,13.52381,b,3.047619,1.4761905,0.0,0.0,6.3809524,2.6190476
911,789,Merguez de volaille,d,844.0,5.1,1.0,0.0,15.0,0.72,14.0,12.666667,c,2.4761905,0.42857143,2.4285714,0.0,6.9047619,0.42857143
3888,790,Lasagnes a  la bolognaise a  l'emmental,c,565.0,2.9,1.6,1.4,6.3,0.44,3.0,13.761905,b,3.047619,0.42857143,2.4285714,0.0,6.3809524,1.4761905
1473,791,Fromage de chevre a  tartiner Bio Carrefour,c,749.0,10.0,0.9,0.0,10.0,0.44,10.0,14.285714,b,3.047619,0.42857143,2.4285714,0.0,6.9047619,1.4761905
46,792,Allumettes,e,1100.0,7.8,0.6,0.0,16.0,0.84,19.0,12.142857,c,2.3809524,0.42857143,2.4285714,0.0,6.9047619,0.0
1283,793,Veritable jambon persille de bourgogne,c,586.0,2.2,0.5,0.0,22.0,0.72,5.0,13.238095,b,3.047619,0.42857143,2.4285714,0.0,6.9047619,0.42857143
4324,794,Eclairs au chocolat fourrage creme chocolat,d,1427.0,13.0,23.0,2.9,5.1,0.092,17.0,12.095238,c,1.3809524,0.0,0.0,1.7142857,6.3809524,2.6190476
4693,795,Pave Carrefour,d,418.0,16.0,0.0,0.0,4.5,0.4,15.0,13.333333,b,3.047619,0.0,2.4285714,0.0,6.3809524,1.4761905
2539,796,Mini donut,e,1870.0,15.0,16.0,0.0,4.8,0.48,23.0,10.142857,c,1.047619,0.0,1.2857143,0.0,6.3809524,1.4285714
42,797,Carottes noisette et raisins,c,761.0,0.9,12.0,0.0,2.4,0.192,5.0,13.047619,b,2.4761905,1.4761905,1.2857143,0.0,5.1904762,2.6190476
1877,798,Gache tranchee,d,1526.0,8.7,14.0,1.9,8.4,0.44,18.0,11.380952,c,1.3809524,0.42857143,1.2857143,0.42857143,6.3809524,1.4761905
4303,799,Chili de legumes cuisine a  la Mexicaine,a,318.0,0.3,3.2,4.2,3.3,0.36,-3.0,17.904762,a,3.047619,3.047619,2.4285714,1.952381,5.8571429,1.5714286
3466,800,Cuisses de poulet saumurees et roti,c,732.0,2.8,0.7,0.0,21.0,0.6,5.0,13.238095,b,3.047619,0.42857143,2.4285714,0.0,6.9047619,0.42857143
2332,801,Piemontaise au jambon superieur,c,741.0,1.3,0.8,1.4,4.1,0.44,4.0,14.809524,b,3.047619,1.4761905,2.4285714,0.0,6.3809524,1.4761905
222,802,Paris'Gom,d,1393.0,0.0,60.0,0.0,4.6,0.012,14.0,13.952381,b,1.3809524,3.047619,0.0,0.0,6.3809524,3.1428571
2564,803,Cream candy's,e,1130.0,3.9,91.0,0.0,0.0,0.324,19.0,4.3809524,e,2.3809524,0.42857143,0.0,0.0,0.0,1.5714286
5152,804,Confiture Ma»re,d,1046.0,0.0,60.0,1.6,0.6,0.0,11.0,12.809524,c,2.3809524,3.047619,0.0,0.42857143,3.8095238,3.1428571
5433,805,Paella au poulet,a,613.0,0.9,0.5,1.5,7.1,0.3,-1.0,16.380952,b,3.047619,1.4761905,2.4285714,0.42857143,6.3809524,2.6190476
3051,806,Faisselle,b,383.0,4.0,3.9,0.0,3.7,0.036,2.0,15.428571,b,3.047619,0.42857143,2.4285714,0.0,6.3809524,3.1428571
2180,807,Petits pains grilles,c,1746.0,0.8,8.7,3.2,9.2,0.48,8.0,14.904762,b,1.047619,2.2857143,1.2857143,1.952381,6.9047619,1.4285714
1868,808,Succes aux noix,d,1662.0,6.8,38.0,2.0,7.6,0.048,16.0,11.428571,c,1.047619,0.42857143,0.0,0.42857143,6.3809524,3.1428571
4443,809,Croc ball,c,1623.0,1.2,31.0,5.7,7.9,0.2032,8.0,13.809524,b,1.3809524,1.4761905,0.0,1.952381,6.3809524,2.6190476
